1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0,2,4,8,14,26,66,140,320,600,1020,2336,4760,9468,15975,33150,63780
0,0,2,2,11,12,28,69,124,298,579,1094,1691,3794,9328,18302,35216,70838
0,1,2,3,9,12,28,60,164,300,522,1117,2534,4668,7666,19155,37018,69990
0,0,3,4,8,18,40,71,118,272,603,1070,1988,4483,8794,19080,36912,69220
0,0,2,4,8,16,16,68,140,292,556,1034,2060,4370,8994,19402,34051,74202
0,0,0,4,6,13,32,66,126,290,542,1232,2394,4258,9002,16080,35395,70638
0,0,2,3,11,13,28,63,143,246,552,1161,2281,4366,8414,17978,38430,70472
0,0,1,4,4,16,30,64,118,252,589,959,2256,4580,8380,18028,37429,69937
0,0,2,4,8,12,44,67,126,308,588,1208,2006,3725,8535,19204,34339,67108
0,0,2,1,8,19,24,64,154,268,587,1032,2418,4612,8627,19460,37191,67870
0,0,2,3,8,12,38,62,148,277,594,1358,2499,4819,8328,18509,36954,77612
0,2,0,5,10,18,27,74,139,210,587,1222,1958,4257,9014,17554,34837,72114
0,0,1,5,11,20,34,81,152,251,604,1130,1950,4776,8511,17404,35490,69972
0,2,2,4,9,14,30,54,128,244,567,1088,2171,3931,10331,16214,36879,73689
0,2,1,8,7,15,40,68,140,286,590,1114,2092,4176,9350,18696,36218,77098
0,2,1,2,12,16,26,55,136,247,568,1102,2313,4919,7855,17901,37420,73814
0,2,2,2,12,17,36,71,150,240,546,1194,2287,4513,9266,17791,37447,71016
0,0,3,2,7,16,30,62,150,275,598,1136,2318,4426,9310,18468,36938,75574
0,0,1,4,9,14,34,64,152,311,540,1036,2470,3868,8752,16252,37451,73082
0,1,1,4,8,14,41,54,143,305,536,1174,2209,4348,7986,18997,34940,73428
0,0,2,0,9,14,31,66,136,242,548,1101,2016,4702,7910,17102,37576,71876
0,2,2,4,3,16,33,72,143,311,484,1122,2086,4748,9311,17892,37644,72077
0,0,1,3,8,22,44,69,132,292,616,1196,2482,4036,9131,17815,37908,74046
0,2,2,4,6,16,30,72,104,308,556,1104,2405,4364,9374,18371,35694,75840
0,0,0,4,11,15,26,82,128,258,662,1133,2486,4221,8225,19888,35294,72360
0,0,2,1,7,20,34,70,118,283,524,1029,2000,4352,8526,17059,36875,72830
0,0,1,4,7,18,24,76,136,278,576,1053,2225,4530,8966,16828,38960,76944
0,0,1,6,10,16,29,82,162,276,498,1102,2259,4110,8492,18155,34447,71504
0,0,0,6,10,14,25,56,107,306,506,1170,2239,4418,9061,18236,37764,69416
0,0,0,4,8,18,38,70,118,304,512,1176,2258,4374,9406,19093,34844,75072
0,2,1,4,4,16,31,82,112,299,581,1160,2224,4667,8920,18029,36224,77574
0,0,0,2,10,16,33,64,144,252,464,1260,2175,4842,9656,18852,38916,73295
0,0,4,1,8,10,32,71,158,246,548,1208,2486,4844,9614,18855,36426,68406
0,0,4,4,9,16,36,74,108,280,550,1098,2165,4639,8040,17606,35720,74870
0,0,0,2,5,19,43,80,113,319,534,1116,2194,4168,8745,17969,38320,77798
0,0,3,4,8,15,27,73,141,268,577,1170,2362,4480,9591,18014,36580,72124
0,0,2,3,7,14,25,75,122,283,561,1181,2349,4324,8775,18676,38018,72701
0,0,2,3,7,20,28,68,140,260,481,1088,2040,4385,8379,18896,37085,76860
0,0,3,4,10,21,36,66,164,282,550,1128,2010,4058,8406,19286,34700,73930
0,0,3,4,8,14,28,46,127,240,483,1066,2394,4832,8900,19066,37980,68188
0,0,2,3,12,19,23,66,136,274,494,1074,1850,4361,8244,17316,34882,75828
0,2,3,6,8,12,44,67,130,283,672,1066,1978,4396,9926,16744,37500,73401
0,1,2,4,10,20,46,66,146,297,558,1092,2171,3862,9076,17617,36256,65728
0,1,2,4,11,17,36,55,146,277,529,1128,2262,4609,9168,18624,34960,73736
0,1,2,3,6,18,39,62,120,263,532,1022,2216,4551,9204,18062,35282,68220
0,1,2,4,5,24,39,80,148,238,554,1020,2264,4470,9107,17610,36692,69532
0,0,4,4,12,17,22,56,170,194,592,1025,2282,4538,8238,17758,35650,73224
0,1,0,6,13,10,19,86,108,245,572,1198,2054,3938,9546,18632,37995,76841
0,0,2,4,6,13,19,58,146,334,525,1270,2452,4480,10032,17983,36175,68208
0,0,0,4,6,10,28,62,134,274,610,1062,2338,4955,9879,18638,37417,70614
0,2,2,1,9,16,37,72,131,280,538,1112,2016,4398,9104,18484,40178,71504
0,0,4,2,6,17,33,74,142,246,536,1080,2350,4639,9336,17294,38996,75208
0,0,2,0,10,14,33,79,112,248,529,1104,2073,4314,8942,18503,35263,74720
0,1,0,6,8,28,33,75,160,262,633,1170,2088,4178,9093,18791,33642,80012
0,0,2,3,6,9,40,66,143,314,520,1219,2212,4560,9624,18551,32265,74671
0,0,2,4,6,14,34,52,136,274,552,936,2118,4230,8487,18768,38487,67760
0,2,2,4,11,19,37,54,148,276,612,1100,2299,4612,9216,17560,35323,76858
0,0,0,4,8,10,23,76,92,271,650,1128,2538,3666,9622,17340,34757,76565
0,2,0,6,4,16,30,84,157,284,560,1074,1974,4754,8845,18686,37902,70957
0,1,2,6,12,20,24,64,168,266,560,1131,2342,4830,9642,17876,33228,76586
0,0,2,5,6,22,24,54,168,276,568,1250,2167,4567,8528,18700,36496,73418
0,2,2,4,11,10,39,86,130,303,596,1086,2144,4693,9624,17260,37371,72700
0,0,2,8,13,24,35,75,130,262,550,1232,2115,4510,8682,16188,36243,72076
0,0,1,7,10,14,32,78,104,294,537,1127,2412,4600,8887,16922,36124,77497
0,0,1,5,6,16,37,70,126,257,574,1012,2302,4475,9510,17880,34791,68718
0,2,1,4,8,21,43,74,134,313,604,1290,2070,4613,8243,19712,37588,73644
0,1,0,2,10,20,27,67,154,222,508,1120,2090,4414,9679,15877,37924,78610
0,0,2,8,6,20,36,52,128,274,591,1207,2084,4149,8852,16630,35471,75696
0,0,0,6,8,20,28,67,108,230,456,1261,2226,4348,8928,17782,35155,70395
0,2,2,4,8,22,22,66,112,279,588,1218,2446,4334,8850,17582,39786,69644
0,0,2,4,9,22,40,76,150,301,582,1257,2086,4536,9050,17610,37136,66453
0,1,0,6,4,18,28,61,132,308,572,1041,2217,4766,8944,18147,37737,76691
0,2,2,0,6,12,32,69,138,294,578,1200,2173,4781,9205,18233,35708,63836
0,0,2,5,10,12,36,64,104,250,615,1156,2034,4357,8786,17600,35978,72686
0,0,2,6,8,14,42,64,128,306,638,1146,2294,4804,9452,19704,33972,77042
0,0,3,3,8,15,42,59,136,291,631,1230,2397,4224,9176,17948,31174,69404
0,2,2,4,8,16,30,78,119,336,556,1066,2336,4590,9064,18724,35262,73051
0,0,0,6,8,16,32,69,132,283,576,1209,2214,4159,7910,19324,36923,69318
0,1,0,4,10,14,19,78,114,316,532,1142,2226,4346,9396,18445,38073,71411
0,2,2,4,7,18,40,82,126,262,588,1197,2422,4086,8592,18985,35889,72748
0,0,1,3,6,18,29,62,141,215,584,1153,2182,4803,9756,18602,34384,72998
0,2,2,4,4,13,23,75,140,342,466,1168,2284,4805,8785,17066,37718,73702
0,0,2,4,8,19,30,78,129,292,558,1046,2217,4619,8509,17764,35587,71148
0,2,3,2,10,11,39,61,114,256,597,1121,2384,4494,9049,18922,35756,70410
0,0,1,4,10,23,34,84,128,276,526,1173,2205,4192,9918,18846,37238,67334
0,0,2,4,10,16,45,88,131,230,602,1207,2224,4260,9004,17936,35332,75544
0,2,0,4,12,16,27,62,150,318,570,1056,2074,4388,9636,19305,37214,76943
0,2,4,4,8,10,36,73,128,270,488,1130,2312,4524,9063,17870,33890,76402
0,1,4,5,9,18,32,72,134,295,439,1001,2177,4218,9180,18805,32316,70726
0,2,2,4,8,15,28,82,140,270,488,1179,2286,4699,9235,17600,38860,72186
0,0,2,4,12,17,28,62,152,308,606,1092,2222,4267,8149,15668,36059,72376
0,0,2,2,7,16,26,56,124,310,516,1048,2011,4657,9558,16536,34880,70738
0,0,4,4,8,18,36,62,151,297,574,1170,2235,4690,9069,17118,38176,73862
0,0,4,5,4,14,36,65,129,275,556,882,2158,4430,8570,19954,38680,73988
0,1,3,4,6,24,44,70,164,303,586,1264,2367,4530,9538,16250,36452,65966
0,2,0,4,10,20,38,56,166,285,508,1168,2360,4767,8482,17324,35782,69332
0,2,3,6,7,18,31,68,126,302,571,1132,2298,4763,9737,17052,35491,69882
0,1,2,2,8,15,34,64,102,308,590,1004,2038,4467,9481,17708,36336,70939
0,0,0,4,10,18,24,75,158,310,566,880,2184,4324,9196,18832,36610,72786
0,1,0,1,12,11,40,60,129,292,571,1288,2298,4466,9182,17888,37336,73935
